SMILES,alpha,beta,delta,gamma
CC(C)[C@H](NC(=O)C1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1)C(N)=O,1,1,1,1
CC(Nc1ccccc1)c1cc(C(=O)N(C)C)cn2c(=O)cc(N3CCOCC3)nc12,0,1,1,0
CCN1CCC(Nc2cc(-c3ncnc4c3CN(c3cnc(OC)c(C)c3)CC4)ccn2)CC1,0,0,1,0
C[C@H]1CC[C@@H](c2nc3cccc(Cl)c3c(=O)n2-c2cccc(F)c2)N1c1nc(N)nc(N)c1C#N,0,0,0,0
NOCCOCCOCCOCCC(=O)N1CCN(c2cnc3ccc(-c4cnc(Cl)c(NS(=O)(=O)c5ccc(F)cc5)c4)cc3n2)CC1,1,1,1,1
CC1(C)CC(=O)c2sc(N3CCOc4ccc(-c5ccccn5)cc43)nc2C1,1,0,1,1
Clc1ccc2c(c1)-c1nc3cc(Cl)ccc3n1CCO2,1,1,0,0
O=C(Cc1nnc(-c2ccc3ncccc3c2)o1)NCCc1ccc(Cl)cc1,0,0,0,0
Cc1ccc2c(c1)-c1nc3cc(C)ccc3n1CCO2,1,1,0,0
CSc1nc(=O)c2sc(N3CCOCC3)nc2n1Cc1cccc(Cl)c1C,0,1,1,0
Cc1cc(C)c(S(=O)(=O)N2CCN(Cn3cc4c(=O)oc5ccccc5c4n3)CC2)c(C)c1,1,1,1,1
CCC(=O)N1CC[C@H](Oc2ccnc3ccc(-c4ccc(OC)nc4)nc23)C1,0,0,1,0
CC(C)n1nc(-c2cnc3ccccc3c2)c2c(N)ncnc21,0,0,1,0
C[C@H](Nc1ncnc(N)c1C#Cc1ccc(F)cn1)c1nc2cccc(C(F)(F)F)c2c(=O)n1-c1ccccc1,1,1,1,1
Oc1cc([C@H]2C3CCC(CC3)[C@@H]2Nc2nc(-c3c[nH]c4ncc(F)cc34)ncc2F)no1,1,0,0,1
Fc1ccc2c(c1)nc1n2CCOc2ccc(Cl)cc2-1,1,1,0,0
NC(=O)CNC(=O)[C@H]1CCCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)C1,1,1,1,1
Cc1cccc2oc(Cc3nc(N4CCOCC4)cc(=O)[nH]3)nc12,0,1,0,0
CC(Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(C(=O)N2CCNCC2)c1-c1ccccn1,0,0,1,1
C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(-c2ccccn2)c1-c1ccccn1,0,0,1,1
COc1ncc(-c2cc(OC3CCC3)cc3c2CNC3=O)cc1NS(C)(=O)=O,1,1,1,1
CNC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1,0,0,1,0
CC(C)n1nc(-c2ccc(CC#N)cc2)c2c(N)ncnc21,0,0,0,0
CS(=O)(=O)O.CS(=O)(=O)O.O.O.c1cnc2ccc(Nc3nc(NC4CC4)c4nc[nH]c4n3)cc2c1,1,1,1,1
CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3)c2)cnc1N,1,0,1,1
COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1N,0,0,1,1
O=c1cc(N2CCOCC2)oc2c(-c3ccc4c(c3)OCO4)csc12,1,1,1,1
C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(C#N)c1-c1ccccc1,0,1,1,1
CC(=O)NCCNc1nc(N2CCOCC2)nc(-n2c(C(F)F)nc3ccccc32)n1,1,1,1,1
CC1Cc2c(Cl)cccc2N1C(=O)Cc1nc(N2CCOCC2)sc1C(N)=O,0,1,1,0
CC[C@H](Nc1ncnc2[nH]ccc12)c1nc2cccc(F)c2c(=O)n1-c1cccc(CC(F)(F)F)c1,0,0,1,0
O=c1oc2ccccc2c2nn(CN3CCN(S(=O)(=O)c4ccc(F)cc4)CC3)cc12,0,0,0,0
CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,0,0,0,0
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,1,0,1,1
CNC(=O)NC1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)CC1,1,1,1,1
N#Cc1c(N)nc(N)nc1N1[C@H](c2nc3cccc(F)c3c(=O)n2-c2cccnc2)C[C@@H]2CCCC[C@@H]21,0,0,0,0
COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21,1,1,1,1
Fc1ccc2c(c1)nc1n2CCOc2ccc(Br)cc2-1,1,1,0,0
COc1ccc2nc(C(C)C)n(-c3nc(N4CCOCC4)nc(N4CCOCC4)n3)c2c1,0,1,1,0
C[C@@H](Nc1cc(F)cc(F)c1F)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,1,1,1,0
O=c1cc(N2CCOCC2)nc(NCc2cccc3ccccc23)[nH]1,0,1,1,0
C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(S(C)(=O)=O)c1-c1ccccc1,1,1,1,1
