SMILES,alpha
CC1CN(c2cc(=O)c3ccc4ccccc4c3o2)CCO1,0
COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,1
O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12,0
O=c1cc(N2CCOCC2)nc2c3ccccc3ccn12,0
O=c1cc(N2CCCCC2)oc2c(-c3ccccc3)cccc12,0
O=c1cc(N2CCSCC2)oc2c(-c3ccccc3)cccc12,0
O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12,0
O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3O)o2)S1,1
O=C1NC(=S)S/C1=C\c1ccc(-c2cc([N+](=O)[O-])ccc2O)o1,1
O=C1NC(=S)S/C1=C\c1ccc(-c2cccc(C(=O)O)c2)o1,0
O=C1NC(=O)/C(=C/c2ccc(-c3cc(F)cc(F)c3O)s2)S1,1
O=C1NC(=O)/C(=C/c2ccc(-c3ccc(O)cc3F)o2)S1,1
O=C1NC(=O)/C(=C/c2ccc(-c3cc(C(=O)O)ccc3O)o2)S1,0
O=C1NC(=O)/C(=C/c2ccc(-c3cccc([N+](=O)[O-])c3O)o2)S1,0
O=C1NC(=O)/C(=C/c2ccc(-c3cc(O)ccc3O)o2)S1,1
Cc1ccc(O)c(-c2ccc(/C=C3\SC(=O)NC3=O)o2)c1,1
O=C1NC(=O)/C(=C/c2ccc(-c3cc(OC(F)(F)F)ccc3O)o2)S1,1
N#Cc1ccc(O)c(-c2ccc(/C=C3\SC(=O)NC3=O)o2)c1,1
O=C1NC(=O)/C(=C/c2ccc(-c3cc(Cl)ccc3O)o2)S1,1
O=C1NC(=O)/C(=C/c2ccc(-c3cc(F)ccc3O)o2)S1,1
COC(=O)c1ccc(-c2ccc(/C=C3\SC(=O)NC3=O)o2)c(O)c1,1
O=C1NC(=O)/C(=C/c2ccc(-c3ccc(O)cc3O)o2)S1,1
O=C1NC(=O)/C(=C/c2ccc(-c3cccnc3)o2)S1,1
O=C1NC(=O)/C(=C/c2ccc(-c3ccccn3)o2)S1,1
O=C1NC(=O)/C(=C/c2ccc(-c3ccc4c(c3)OCO4)o2)S1,0
O=C1NC(=O)/C(=C/c2ccc(-c3ccc(O)cc3)o2)S1,0
O=C1NC(=O)/C(=C/c2ccc(-c3cccc(O)c3)o2)S1,0
O=C1NC(=O)/C(=C/c2ccc(-c3ccccc3O)o2)S1,1
Cl.O=C(O)COc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,1
Cl.Cl.c1cc(OCCN2CCSCC2)cc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,1
Cl.Cl.c1cc(OCCN2CCOCC2)cc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,1
Cl.Cl.c1cc(OCCN2CCCCC2)cc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,1
COc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1.Cl,1
Cl.Cl.Nc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,1
Cl.Oc1ccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)cc1,1
Cl.Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,1
Oc1ccccc1-c1nc(N2CCOCC2)c2oc3ncccc3c2n1,1
c1ccc(-c2nc(N3CCOCC3)c3sc4ccccc4c3n2)cc1,0
Cl.c1ccc2c(c1)sc1c(N3CCOCC3)ncnc12,0
c1ccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)cc1,1
c1ccc(-c2nc(N3CCOCC3)c3sc4ncccc4c3n2)cc1,0
c1cnc2[nH]c3c(N4CCOCC4)ncnc3c2c1,0
c1cnc2oc3c(N4CCOCC4)ncnc3c2c1,1
c1cnc2sc3c(N4CCOCC4)ncnc3c2c1,0
Cl.Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,1
Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1,1
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccc(Br)cn12,1
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccccn12,1
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2n1CCCC2,0
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cncc2c(Br)cccc12,0
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cncc2cc(Br)ccc12,0
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cncc2ccc(Br)cc12,0
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cncc2ccccc12,1
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccccc2c1,0
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1ccnc2ccccc12,0
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cccc2ccccc12,0
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1csc2ccccc12,0
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1coc2ccccc12,0
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1onc2ccccc12,0
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cn(C)c2ccccc12,0
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1ncn2ccccc12,0
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1ncc2ccccn12,0
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cncn1C,0
Oc1cc(O)c(-c2noc3ccc(NCCN4CCOCC4)cc23)cc1Cl,0
N#CCc1ccc(-n2cnc3cnc4ccc(C#Cc5cccnc5)cc4c32)cc1,1
Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(C#Cc4cccnc4)ccc3ncc21,1
Cc1nc2cnc3ccc(C#Cc4cccnc4)cc3c2n1-c1ccc(C(C)C#N)cc1,1
CCN(/C=C1/C(=O)O[C@H](COC)[C@@]2(C)C1=C(O)C(=O)C1=C2[C@H](OC(C)=O)C[C@]2(C)[C@@H](O)CC[C@@H]12)CC,1
