SMILES,gamma
O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3O)o2)S1,1
COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,0
O=C1NC(=S)S/C1=C\c1ccc(-c2ccc([N+](=O)[O-])cc2Br)o1,0
O=C1NC(=S)S/C1=C\c1ccc(-c2cccc(C(=O)O)c2)o1,1
O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,0
O=C1NC(=S)S/C1=C\c1ccc(-c2cc([N+](=O)[O-])ccc2O)o1,1
O=C1NC(=O)/C(=C/c2ccc(-c3cc(F)cc(F)c3O)s2)S1,1
O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3F)o2)S1,0
O=C1NC(=O)/C(=C/c2ccc(-c3ccc(O)cc3F)o2)S1,1
O=C1NC(=O)/C(=C/c2ccc(-c3cc(C(=O)O)ccc3O)o2)S1,1
O=C1NC(=O)/C(=C/c2ccc(-c3cccc([N+](=O)[O-])c3O)o2)S1,1
O=C1NC(=O)/C(=C/c2ccc(-c3cc(O)ccc3O)o2)S1,1
Cc1ccc(O)c(-c2ccc(/C=C3\SC(=O)NC3=O)o2)c1,1
O=C1NC(=O)/C(=C/c2ccc(-c3cc(OC(F)(F)F)ccc3O)o2)S1,1
N#Cc1ccc(O)c(-c2ccc(/C=C3\SC(=O)NC3=O)o2)c1,1
O=C1NC(=O)/C(=C/c2ccc(-c3cc(Cl)ccc3O)o2)S1,1
O=C1NC(=O)/C(=C/c2ccc(-c3cc(F)ccc3O)o2)S1,1
COC(=O)c1ccc(-c2ccc(/C=C3\SC(=O)NC3=O)o2)c(O)c1,1
O=C1NC(=O)/C(=C/c2ccc(-c3ccc(O)cc3O)o2)S1,1
O=C1NC(=O)/C(=C/c2ccc(-c3cccnc3)o2)S1,1
O=C1NC(=O)/C(=C/c2ccc(-c3ccccn3)o2)S1,1
O=C1NC(=O)/C(=C/c2ccc(-c3ccc([N+](=O)[O-])o3)o2)S1,0
O=C1NC(=O)/C(=C/c2ccc(-c3ccoc3)o2)S1,1
O=C1NC(=O)/C(=C/c2ccc(-c3ccc4c(c3)OCO4)o2)S1,0
COc1cccc(-c2ccc(/C=C3\SC(=O)NC3=O)o2)c1,0
COC(=O)c1cccc(-c2ccc(/C=C3\SC(=O)NC3=O)o2)c1,0
O=C1NC(=O)/C(=C/c2ccc(-c3cccc(C(=O)O)c3)o2)S1,0
O=C1NC(=O)/C(=C/c2ccc(-c3ccccc3F)o2)S1,0
O=C1NC(=O)/C(=C/c2ccc(-c3ccccc3Cl)o2)S1,0
O=C1NC(=O)/C(=C/c2ccc(-c3ccc(O)cc3)o2)S1,1
O=C1NC(=O)/C(=C/c2ccc(-c3cccc(O)c3)o2)S1,1
O=C1NC(=O)/C(=C/c2ccc(-c3ccccc3O)o2)S1,1
O=C1NC(=O)/C(=C/c2ccc(-c3ccccc3)o2)S1,0
